aircraft,tailnumber,pilot,departure,arrival,distance_nm,duration_min,duration_hhmm,date_dep_form,date_arr_form,dep_lat,dep_lon,arr_lat,arr_lon,ac_icao_type,ac_manufacturer,ac_model,ac_category,ac_is_ga,ac_airline_name
N844FD,N844FD,Jay6zero,KEWR,KMIA,945.0,159,2:39 h,2025-12-23 22:34:00,2025-12-24 01:13:00,40.692501,-74.168701,25.79319953918457,-80.29060363769531,B77L,Boeing,777-200F,FREIGHTER,No,FedEx
N504JB,N504JB,semartinezmo,KMCO,KBOS,975.0,233,3:53 h,2025-12-23 22:11:00,2025-12-24 02:04:00,28.429399490356445,-81.30899810791016,42.36197,-71.0079,A320,Airbus,A320,PASSENGER,No,Jetblue
N302DN,N302DN,Jay6zero,KJFK,KCLT,470.0,113,1:53 h,2025-12-23 19:38:00,2025-12-23 21:31:00,40.639447,-73.779317,35.2140007019043,-80.94309997558594,A321,Airbus,A321,PASSENGER,No,Delta Air Lines
EI-ENW,EI-ENW,semartinezmo,GMTT,GMMD,200.0,86,1:26 h,2025-12-23 17:09:00,2025-12-23 18:36:00,35.731741,-5.921459,32.401895,-6.315905,B738,Boeing,737-800,PASSENGER,No,Ryanair
N844FD,N844FD,alphagolfcharlie,PANC,KEWR,2920.0,381,6:21 h,2025-12-23 15:57:00,2025-12-23 22:19:00,61.179004,-149.992561,40.692501,-74.168701,B77L,Boeing,777-200F,FREIGHTER,No,FedEx
N504JB,N504JB,1562477,KDCA,KMCO,660.0,133,2:13 h,2025-12-23 13:59:00,2025-12-23 16:12:00,38.8521,-77.037697,28.429399490356445,-81.30899810791016,A320,Airbus,A320,PASSENGER,No,Jetblue
D-ALFE,D-ALFE,bradfier,EINN,BGGH,1471.0,256,4:16 h,2025-12-23 08:05:00,2025-12-23 12:22:00,52.702,-8.92482,64.191066,-51.67914,B77L,Boeing,777-FBT,FREIGHTER,No,Lufthansa Cargo
N302DN,N302DN,Jay6zero,KBOS,KJFK,162.0,63,1:03 h,2025-12-23 06:23:00,2025-12-23 07:27:00,42.36197,-71.0079,40.639447,-73.779317,A321,Airbus,A321,PASSENGER,No,Delta Air Lines
N218NV,N218NV,Jaraffe,KJQF,GE99,137.0,55,0:55 h,2025-12-23 05:40:00,2025-12-23 06:36:00,35.387798,-80.709099,,,A320,Airbus,A320-214,PASSENGER,No,Allegiant Air
EC-MXV,EC-MXV,semartinezmo,LEMD,SKBO,4336.0,683,11:23 h,2025-12-23 04:59:00,2025-12-23 16:23:00,40.471926,-3.56264,4.70159,-74.1469,A359,Airbus,A350-941,PASSENGER,No,Iberia
N8910B,N8910B,V1RotateAP,KTPA,22FA,42.0,50,0:50 h,2025-12-23 03:16:00,2025-12-23 04:06:00,27.9755,-82.533203,,,C172,Cessna,172 Skyhawk,PASSENGER,Yes,
N77ZE,N77ZE,alchemydc,KANP,KOXB,77.0,49,0:49 h,2025-12-23 02:51:00,2025-12-23 03:41:00,38.942902,-76.568398,38.310398101807,-75.124000549316,PC12,Pilatus,PC-12/45,PASSENGER,Yes,
EI-ENW,EI-ENW,semartinezmo,EGBB,GMTT,1019.0,220,3:40 h,2025-12-23 01:16:00,2025-12-23 04:56:00,52.453899,-1.74803,35.731741,-5.921459,B738,Boeing,737-800,PASSENGER,No,Ryanair
N374DA,N374DA,KDTW_Al,KBOS,KATL,821.0,165,2:45 h,2025-12-22 23:50:00,2025-12-23 02:35:00,42.36197,-71.0079,33.6367,-84.428101,B738,Boeing,737-800,PASSENGER,No,Delta Air Lines
VH-VXJ,VH-VXJ,Identified300,YMML,NZQN,1158.0,180,3:00 h,2025-12-22 23:01:00,2025-12-23 02:01:00,-37.661548,144.836432,-45.021099,168.738998,B738,Boeing,737-800,PASSENGER,No,Qantas
EI-ENW,EI-ENW,semartinezmo,EKCH,EGBB,541.0,149,2:29 h,2025-12-22 22:39:00,2025-12-23 01:08:00,55.617900848389,12.656000137329,52.453899,-1.74803,B738,Boeing,737-800,PASSENGER,No,Ryanair
N218NV,N218NV,1462381,KCLT,KJQF,15.0,54,0:54 h,2025-12-22 20:20:00,2025-12-22 21:15:00,35.2140007019043,-80.94309997558594,35.387798,-80.709099,A320,Airbus,A320-214,PASSENGER,No,Allegiant Air
N129K,N129K,V1RotateAP,K9S4,KMSO,34.0,26,0:26 h,2025-12-22 20:16:00,2025-12-22 20:42:00,,,46.91630173,-114.0910034,C172,Cessna,172 Skyhawk,PASSENGER,Yes,
N129K,N129K,V1RotateAP,ID33,K9S4,43.0,26,0:26 h,2025-12-22 19:48:00,2025-12-22 20:15:00,,,,,C172,Cessna,172 Skyhawk,PASSENGER,Yes,
OH-LWA,OH-LWA,alphagolfcharlie,KJFK,EFHK,3567.0,458,7:38 h,2025-12-22 18:40:00,2025-12-23 02:18:00,40.639447,-73.779317,60.318363,24.963341,A359,Airbus,A350-900,PASSENGER,No,Finnair
C-GPWG,C-GPWG,1596814,CYPR,CYVR,407.0,92,1:32 h,2025-12-22 17:58:00,2025-12-22 19:30:00,54.2860984802,-130.445007324,49.193901062,-123.183998108,A320,Airbus,A320,PASSENGER,No,Air Canada
N804SN,N804SN,cautionwake,KPGD,KSWF,958.0,207,3:27 h,2025-12-22 15:27:00,2025-12-22 18:54:00,26.9202,-81.990501,41.504101,-74.104797,MD11,McDonnell Douglas,MD-11F,FREIGHTER,No,Western Global Airlines
D-ALFE,D-ALFE,bradfier,EDDF,EINN,672.0,129,2:09 h,2025-12-22 12:48:00,2025-12-22 14:57:00,50.030241,8.561096,52.702,-8.92482,B77L,Boeing,777-FBT,FREIGHTER,No,Lufthansa Cargo
G-EUYY,G-EUYY,mrb13676,EGLL,EGCC,131.0,58,0:58 h,2025-12-22 06:22:00,2025-12-22 07:20:00,51.4706,-0.461941,53.349375,-2.279521,A320,Airbus,A320,PASSENGER,No,British Airways
N920NK,N920NK,Jaraffe,KMCO,KEYW,233.0,70,1:10 h,2025-12-22 01:08:00,2025-12-22 02:19:00,28.429399490356445,-81.30899810791016,24.556101,-81.759598,A320,Airbus,A320,PASSENGER,No,Spirit Airlines
G-BHAA,G-BHAA,TATsim,EGCV,EGBS,35.0,37,0:37 h,2025-12-22 00:54:00,2025-12-22 01:32:00,,,,,C152,Cessna,152,PASSENGER,Yes,
N321US,N321US,Phil,KATL,KMSP,788.0,162,2:42 h,2025-12-22 00:02:00,2025-12-22 02:44:00,33.6367,-84.428101,44.880081,-93.221741,A320,Airbus,A320,PASSENGER,No,Delta Air Lines
N161UW,N161UW,alphagolfcharlie,KDCA,KMIA,801.0,187,3:07 h,2025-12-21 22:54:00,2025-12-22 02:01:00,38.8521,-77.037697,25.79319953918457,-80.29060363769531,A321,Airbus,A321,PASSENGER,No,American Airlines
N959NN,N959NN,Identified300,KDCA,KMIA,801.0,210,3:30 h,2025-12-21 22:42:00,2025-12-22 02:12:00,38.8521,-77.037697,25.79319953918457,-80.29060363769531,B738,Boeing,737-800,PASSENGER,No,American Airlines
N129K,N129K,V1RotateAP,ID29,ID33,15.0,12,0:12 h,2025-12-21 22:30:00,2025-12-21 22:42:00,,,,,C172,Cessna,172 Skyhawk,PASSENGER,Yes,
N161UW,N161UW,alphagolfcharlie,KORD,KDCA,530.0,95,1:35 h,2025-12-21 21:14:00,2025-12-21 22:49:00,41.9786,-87.9048,38.8521,-77.037697,A321,Airbus,A321,PASSENGER,No,American Airlines
OO-SNC,OO-SNC,Exatomos,EBBR,LSGG,287.0,95,1:35 h,2025-12-21 19:09:00,2025-12-21 20:44:00,50.901402,4.48444,46.238098,6.10895,A320,Airbus,A320,PASSENGER,No,Brussels Airlines
N505JB,N505JB,Identified300,KDTW,KPHL,393.0,90,1:30 h,2025-12-21 18:18:00,2025-12-21 19:48:00,42.21377,-83.353786,39.871899,-75.241096,A320,Airbus,A320,PASSENGER,No,Jetblue
OO-SSJ,OO-SSJ,Frilex,EBBR,LOWW,499.0,128,2:08 h,2025-12-21 17:21:00,2025-12-21 19:30:00,50.901402,4.48444,48.110298,16.5697,A319,Airbus,A319,PASSENGER,No,Brussels Airlines
N236FR,N236FR,dart,KDEN,KCLE,1041.0,150,2:30 h,2025-12-21 16:21:00,2025-12-21 18:52:00,39.861698150635,-104.672996521,41.411701,-81.8498,A320,Airbus,A320-214,PASSENGER,No,Frontier Airlines
N844FD,N844FD,Skirata,KMEM,PANC,2734.0,434,7:14 h,2025-12-21 16:02:00,2025-12-21 23:16:00,35.0424,-89.9767,61.179004,-149.992561,B77L,Boeing,777-200F,FREIGHTER,No,FedEx
N717UW,N717UW,Identified300,KLGA,CYYZ,309.0,66,1:06 h,2025-12-21 15:35:00,2025-12-21 16:42:00,40.777199,-73.872597,43.6772,-79.6306,A319,Airbus,A319,PASSENGER,No,American Airlines
N77ZE,N77ZE,alchemydc,KLYH,KANP,157.0,74,1:14 h,2025-12-21 15:30:00,2025-12-21 16:45:00,37.326698,-79.200401,38.942902,-76.568398,PC12,Pilatus,PC-12/45,PASSENGER,Yes,
F-GKXC,F-GKXC,1293211,LIMP,LFMT,282.0,77,1:17 h,2025-12-21 14:36:00,2025-12-21 15:53:00,44.826351,10.29705,43.576199,3.96301,A320,Airbus,A320,PASSENGER,No,Air France
N161UW,N161UW,alphagolfcharlie,KLAX,KORD,1513.0,234,3:54 h,2025-12-21 13:58:00,2025-12-21 17:52:00,33.942501,-118.407997,41.9786,-87.9048,A321,Airbus,A321,PASSENGER,No,American Airlines
F-GKXC,F-GKXC,1293211,LIPQ,LIMP,146.0,61,1:01 h,2025-12-21 13:24:00,2025-12-21 14:26:00,45.827499,13.4722,44.826351,10.29705,A320,Airbus,A320,PASSENGER,No,Air France
F-GKXC,F-GKXC,1293211,LHBP,LIPQ,257.0,70,1:10 h,2025-12-21 12:04:00,2025-12-21 13:14:00,47.43018,19.262393,45.827499,13.4722,A320,Airbus,A320,PASSENGER,No,Air France
PH-RAC,PH-RAC,Hooibaal,EHMZ,EHRD,37.0,24,0:24 h,2025-12-21 10:59:00,2025-12-21 11:24:00,,,51.956902,4.43722,DA40,Diamond,DA40 Diamond Star,PASSENGER,Yes,
N77ZE,N77ZE,sesim,KMQI,KLYH,188.0,101,1:41 h,2025-12-21 02:22:00,2025-12-21 04:03:00,35.91879,-75.695662,37.326698,-79.200401,PC12,Pilatus,PC-12/45,PASSENGER,Yes,
C-GPWG,C-GPWG,1596814,CYXY,CYPR,413.0,86,1:26 h,2025-12-21 00:08:00,2025-12-21 01:35:00,60.709599,-135.067001,54.2860984802,-130.445007324,A320,Airbus,A320,PASSENGER,No,Air Canada
N129K,N129K,V1RotateAP,KS68,ID29,17.0,17,0:17 h,2025-12-20 22:24:00,2025-12-20 22:42:00,,,,,C172,Cessna,172 Skyhawk,PASSENGER,Yes,
N129K,N129K,V1RotateAP,KLWS,KS68,31.0,25,0:25 h,2025-12-20 21:49:00,2025-12-20 22:14:00,46.3745002746582,-117.01499938964844,,,C172,Cessna,172 Skyhawk,PASSENGER,Yes,
N77ZE,N77ZE,alchemydc,TXKF,KMQI,587.0,202,3:22 h,2025-12-20 20:30:00,2025-12-20 23:52:00,32.363998,-64.678703,35.91879,-75.695662,PC12,Pilatus,PC-12/45,PASSENGER,Yes,
C-FITU,C-FITU,Aaron1362041,CYYZ,PHNL,4033.0,664,11:04 h,2025-12-20 19:49:00,2025-12-21 06:54:00,43.6772,-79.6306,21.32062,-157.924228,B77W,Boeing,777-300ER,PASSENGER,No,Air Canada
D-FBWG,D-FBWG,Dhruv,LIPB,LSZH,128.0,78,1:18 h,2025-12-20 18:48:00,2025-12-20 20:06:00,46.460201,11.3264,47.458056,8.548056,PC12,Pilatus,PC-12/47E NGX,PASSENGER,Yes,
PH-BXA,PH-BXA,Identified300,EHAM,EIDW,405.0,106,1:46 h,2025-12-20 18:33:00,2025-12-20 20:19:00,52.308601,4.76389,53.428713,-6.262121,B737,Boeing,737-700,PASSENGER,No,KLM
N505JB,N505JB,alphagolfcharlie,KJFK,KDTW,440.0,100,1:40 h,2025-12-20 16:11:00,2025-12-20 17:51:00,40.639447,-73.779317,42.21377,-83.353786,A320,Airbus,A320,PASSENGER,No,Jetblue
OO-SNB,OO-SNB,1293211,EBBR,EIDW,423.0,105,1:45 h,2025-12-20 15:07:00,2025-12-20 16:53:00,50.901402,4.48444,53.428713,-6.262121,A320,Airbus,A320,PASSENGER,No,Brussels Airlines
F-GKXC,F-GKXC,1293211,LFPG,LHBP,673.0,143,2:23 h,2025-12-20 12:13:00,2025-12-20 14:36:00,49.012798,2.55,47.43018,19.262393,A320,Airbus,A320,PASSENGER,No,Air France
N8242J,N8242J,Jaraffe,KPWK,KOSH,115.0,66,1:06 h,2025-12-20 03:41:00,2025-12-20 04:48:00,,,43.98440170288086,-88.55699920654297,BE36,Beechcraft,Bonanza 36A,PASSENGER,Yes,
N959NN,N959NN,1740025,KBOS,KDCA,346.0,131,2:11 h,2025-12-20 02:21:00,2025-12-20 04:32:00,42.36197,-71.0079,38.8521,-77.037697,B738,Boeing,737-800,PASSENGER,No,American Airlines
VH-UYB,VH-UYB,alexaeglir,YSCB,YMHB,458.0,114,1:54 h,2025-12-19 21:17:00,2025-12-19 23:11:00,-35.3069,149.195007,-42.8371,147.51295,E190,Embraer,ERJ-190-100IGW,PASSENGER,No,QantasLink
C-GPWG,C-GPWG,1596814,CYLW,CYXY,812.0,163,2:43 h,2025-12-19 18:40:00,2025-12-19 21:23:00,49.9561,-119.377998,60.709599,-135.067001,A320,Airbus,A320,PASSENGER,No,Air Canada
N209UA,N209UA,Aaron1362041,KLAX,KORD,1513.0,230,3:50 h,2025-12-19 17:52:00,2025-12-19 21:42:00,33.942501,-118.407997,41.9786,-87.9048,B772,Boeing,777-200,PASSENGER,No,United Airlines
N129K,N129K,V1RotateAP,KALW,KLWS,55.0,61,1:01 h,2025-12-19 16:32:00,2025-12-19 17:34:00,46.09489822,-118.288002,46.3745002746582,-117.01499938964844,C172,Cessna,172 Skyhawk,PASSENGER,Yes,
C-GPWG,C-GPWG,1596814,CYYJ,CYLW,176.0,56,0:56 h,2025-12-19 15:50:00,2025-12-19 16:46:00,48.647201,-123.427792,49.9561,-119.377998,A320,Airbus,A320,PASSENGER,No,Air Canada
EI-ENW,EI-ENW,Identified300,EIDW,EKCH,670.0,133,2:13 h,2025-12-19 14:06:00,2025-12-19 16:20:00,53.428713,-6.262121,55.617900848389,12.656000137329,B738,Boeing,737-800,PASSENGER,No,Ryanair
G-EUUB,G-EUUB,1548492,EGLL,EDDL,272.0,122,2:02 h,2025-12-19 13:57:00,2025-12-19 15:59:00,51.4706,-0.461941,51.289501,6.76678,A320,Airbus,A320,PASSENGER,No,British Airways
G-EUYY,G-EUYY,alphagolfcharlie,LGAV,EGLL,1310.0,236,3:56 h,2025-12-19 12:09:00,2025-12-19 16:05:00,37.936401,23.9445,51.4706,-0.461941,A320,Airbus,A320,PASSENGER,No,British Airways
G-EUYX,G-EUYX,1512948,EGLL,EGPF,299.0,80,1:20 h,2025-12-19 11:40:00,2025-12-19 13:00:00,51.4706,-0.461941,55.871899,-4.43306,A320,Airbus,A320,PASSENGER,No,British Airways
N667NK,N667NK,Jaraffe,KLAX,KPSP,94.0,55,0:55 h,2025-12-19 06:04:00,2025-12-19 06:59:00,33.942501,-118.407997,33.8297,-116.507004,A321,Airbus,A321,PASSENGER,No,Spirit Airlines
G-EUUX,G-EUUX,Fpaal,EGLL,LEBL,619.0,131,2:11 h,2025-12-19 04:51:00,2025-12-19 07:02:00,51.4706,-0.461941,41.2971,2.07846,A320,Airbus,A320,PASSENGER,No,British Airways
N281NV,N281NV,Jaraffe,KFNT,KMGY,203.0,61,1:01 h,2025-12-19 03:41:00,2025-12-19 04:43:00,42.96540069580078,-83.74359893798828,39.5890007019,-84.224899292,A320,Airbus,A320-214,PASSENGER,No,Allegiant Air
N880FD,N880FD,lebrun,KMEM,KMIA,747.0,120,2:00 h,2025-12-19 03:29:00,2025-12-19 05:30:00,35.0424,-89.9767,25.79319953918457,-80.29060363769531,B77L,Boeing,777-200F,FREIGHTER,No,FedEx
N927DZ,N927DZ,KDTW_Al,KHOU,KCMH,869.0,141,2:21 h,2025-12-19 00:17:00,2025-12-19 02:38:00,29.645399,-95.2789,39.998001,-82.891899,B739,Boeing,737-900,PASSENGER,No,Delta Air Lines
D-AKNT,D-AKNT,Frilex,EDDL,EDDH,183.0,70,1:10 h,2025-12-19 00:16:00,2025-12-19 01:26:00,51.289501,6.76678,53.630402,9.98823,A319,Airbus,A319,PASSENGER,No,Eurowings
G-EUUA,G-EUUA,1548492,EGLL,EGPH,288.0,103,1:43 h,2025-12-18 21:52:00,2025-12-18 23:35:00,51.4706,-0.461941,55.950145,-3.372288,A320,Airbus,A320,PASSENGER,No,British Airways
N104TQ,N104TQ,ItchyEye,KSJC,KSJC,0.0,14,0:14 h,2025-12-18 21:21:00,2025-12-18 21:35:00,37.362452,-121.929188,37.362452,-121.929188,SR22,Cirrus,SR22,PASSENGER,Yes,
N129K,N129K,V1RotateAP,KOLM,KALW,197.0,111,1:51 h,2025-12-18 20:48:00,2025-12-18 22:39:00,46.969399,-122.903,46.09489822,-118.288002,C172,Cessna,172 Skyhawk,PASSENGER,Yes,
VH-UYB,VH-UYB,alexaeglir,YSSY,YSCB,127.0,65,1:05 h,2025-12-18 20:10:00,2025-12-18 21:15:00,-33.946098,151.177002,-35.3069,149.195007,E190,Embraer,ERJ-190-100IGW,PASSENGER,No,QantasLink
N129K,N129K,V1RotateAP,KPAE,KOLM,61.0,60,1:00 h,2025-12-18 19:15:00,2025-12-18 20:16:00,47.9063,-122.281998,46.969399,-122.903,C172,Cessna,172 Skyhawk,PASSENGER,Yes,
C-GPWG,C-GPWG,1596814,CYYZ,CYYJ,1819.0,334,5:34 h,2025-12-18 18:58:00,2025-12-19 00:32:00,43.6772,-79.6306,48.647201,-123.427792,A320,Airbus,A320,PASSENGER,No,Air Canada
D-AIXA,,Aaron1362041,EDDF,CYYZ,3424.0,522,8:42 h,2025-12-18 18:28:00,2025-12-19 03:11:00,50.030241,8.561096,43.6772,-79.6306,,,,,No,
N293UP,N293UP,edd,KDFW,KSDF,635.0,114,1:54 h,2025-12-18 13:28:00,2025-12-18 15:22:00,32.896801,-97.038002,38.1744,-85.736,MD11,McDonnell Douglas,MD-11F,FREIGHTER,No,UPS
PH-MPR,PH-MPR,Hooibaal,EHAM,EDDK,123.0,78,1:18 h,2025-12-18 13:21:00,2025-12-18 14:39:00,52.308601,4.76389,50.865898,7.14274,B744,Boeing,747-400F,FREIGHTER,No,Martinair
VH-VXA,VH-VXA,PaleFaceDie,YMML,YSSY,380.0,117,1:57 h,2025-12-18 07:29:00,2025-12-18 09:26:00,-37.661548,144.836432,-33.946098,151.177002,B738,Boeing,737-800,PASSENGER,No,Qantas
N880FD,N880FD,Fpaal,KMIA,KMEM,747.0,131,2:11 h,2025-12-18 04:25:00,2025-12-18 06:37:00,25.79319953918457,-80.29060363769531,35.0424,-89.9767,B77L,Boeing,777-200F,FREIGHTER,No,FedEx
N375GR,N375GR,Jaraffe,KGRR,KPTK,93.0,48,0:48 h,2025-12-18 03:40:00,2025-12-18 04:29:00,42.88079834,-85.52279663,42.665500640869,-83.420097351074,C25C,Cessna,525C CitationJet CJ4,PASSENGER,Yes,
N733BR,N733BR,1715941,KMZJ,MMPE,123.0,81,1:21 h,2025-12-17 21:01:00,2025-12-17 22:22:00,32.5106010437,-111.32800293,31.351987,-113.305177,C172,Cessna,172 Skyhawk,PASSENGER,Yes,
N951NK,N951NK,carp,KFLL,KMYR,461.0,106,1:46 h,2025-12-17 19:31:00,2025-12-17 21:17:00,26.072599,-80.152702,33.679699,-78.928299,A320,Airbus,A320,PASSENGER,No,Spirit Airlines
N63899,N63899,109Priority,KORD,KLAS,1313.0,230,3:50 h,2025-12-17 19:10:00,2025-12-17 23:00:00,41.9786,-87.9048,36.083361,-115.151817,B739,Boeing,737-900,PASSENGER,No,United Airlines
N8861Q,N8861Q,UnstableIRL,KDAL,KHRL,399.0,111,1:51 h,2025-12-17 19:06:00,2025-12-17 20:58:00,32.847099,-96.851799,26.228500366210938,-97.65440368652344,B38M,Boeing,737 MAX 8,PASSENGER,No,Southwest Airlines
N218NV,N218NV,carp,KSRQ,KCLT,476.0,97,1:37 h,2025-12-17 17:48:00,2025-12-17 19:26:00,27.394631,-82.554359,35.2140007019043,-80.94309997558594,A320,Airbus,A320-214,PASSENGER,No,Allegiant Air
HB-IOM,HB-IOM,risson,LSZH,ESSA,802.0,164,2:44 h,2025-12-17 17:14:00,2025-12-17 19:58:00,47.458056,8.548056,59.64849,17.928829,A321,Airbus,A321-212,PASSENGER,No,Swiss
G-EUYY,G-EUYY,alphagolfcharlie,EGLL,LGAV,1320.0,245,4:05 h,2025-12-17 16:12:00,2025-12-17 20:17:00,51.4706,-0.461941,37.936401,23.9445,A320,Airbus,A320,PASSENGER,No,British Airways
VQ-BEJ,VQ-BEJ,ArtySLX,UUEE,UWGG,213.0,61,1:01 h,2025-12-17 12:50:00,2025-12-17 13:51:00,55.972599,37.4146,56.228254,43.785197,A320,Airbus,A320,PASSENGER,No,Aeroflot
I-AMAA,I-AMAA,1715941,LIMB,EDJA,152.0,103,1:43 h,2025-12-17 08:02:00,2025-12-17 09:45:00,,,47.9888000488,10.2395000458,C172,Cessna,172M Skyhawk,PASSENGER,Yes,
VT-NAC,VT-NAC,steamexpress211,VIDP,VOBL,923.0,169,2:49 h,2025-12-17 07:21:00,2025-12-17 10:10:00,28.55563,77.09519,13.1979,77.706299,B788,Boeing,787-8 Dreamliner,PASSENGER,No,Air India
N8CA,N8CA,V1RotateAP,PHNL,PHOG,105.0,57,0:57 h,2025-12-17 03:07:00,2025-12-17 04:04:00,21.32062,-157.924228,20.896263,-156.431837,C208,Cessna,208B Grand Caravan,PASSENGER,Yes,
N504JB,N504JB,Jaraffe,KJFK,KDCA,182.0,80,1:20 h,2025-12-17 02:03:00,2025-12-17 03:23:00,40.639447,-73.779317,38.8521,-77.037697,A320,Airbus,A320,PASSENGER,No,Jetblue
PH-BVW,PH-BVW,jojoa,EHAM,EDDF,197.0,65,1:05 h,2025-12-17 00:12:00,2025-12-17 01:17:00,52.308601,4.76389,50.030241,8.561096,B77W,Boeing,777-300ER,PASSENGER,No,KLM
N943AT,N943AT,MattP,KATL,KCLT,196.0,90,1:30 h,2025-12-16 14:07:00,2025-12-16 15:37:00,33.6367,-84.428101,35.2140007019043,-80.94309997558594,B712,Boeing,717-2BD,PASSENGER,No,Delta Air Lines
C-FCTK,C-FCTK,Aaron1362041,CYYC,CYYZ,1452.0,214,3:34 h,2025-12-14 20:02:00,2025-12-14 23:36:00,51.118822,-114.009933,43.6772,-79.6306,B38M,Boeing,737 MAX 8,PASSENGER,No,WestJet
N506JB,N506JB,picajoluna,KDCA,KBOS,393.0,81,1:21 h,2025-12-14 17:35:00,2025-12-14 18:56:00,38.8521,-77.037697,42.36197,-71.0079,A320,Airbus,A320,PASSENGER,No,Jetblue
N77518,N77518,KDTW_Al,KEWR,KPTK,431.0,112,1:52 h,2025-12-13 18:09:00,2025-12-13 20:02:00,40.692501,-74.168701,42.665500640869,-83.420097351074,B738,Boeing,737-800,PASSENGER,No,United Airlines
N564AS,N564AS,KDTW_Al,KLAX,KELP,619.0,108,1:48 h,2025-12-09 00:13:00,2025-12-09 02:01:00,33.942501,-118.407997,31.807199,-106.377998,B738,Boeing,737-800,PASSENGER,No,Alaska Airlines
N209UA,N209UA,alphagolfcharlie,KORD,KLAX,1513.0,236,3:56 h,2025-12-06 14:58:00,2025-12-06 18:54:00,41.9786,-87.9048,33.942501,-118.407997,B772,Boeing,777-200,PASSENGER,No,United Airlines
N959NN,N959NN,KDTW_Al,KDTW,KBOS,548.0,101,1:41 h,2025-12-06 00:14:00,2025-12-06 01:55:00,42.21377,-83.353786,42.36197,-71.0079,B738,Boeing,737-800,PASSENGER,No,American Airlines
N209UA,N209UA,alphagolfcharlie,KDEN,KORD,769.0,123,2:03 h,2025-12-05 17:51:00,2025-12-05 19:54:00,39.861698150635,-104.672996521,41.9786,-87.9048,B772,Boeing,777-200,PASSENGER,No,United Airlines
N8910B,N8910B,cautionwake,KLAL,KTPA,27.0,82,1:22 h,2025-12-04 23:19:00,2025-12-05 00:42:00,27.987656,-82.018776,27.9755,-82.533203,C172,Cessna,172 Skyhawk,PASSENGER,Yes,
N564AS,N564AS,KDTW_Al,KSAN,KLAX,94.0,49,0:49 h,2025-12-04 01:13:00,2025-12-04 02:03:00,32.7336006165,-117.190002441,33.942501,-118.407997,B738,Boeing,737-800,PASSENGER,No,Alaska Airlines
N564AS,N564AS,KDTW_Al,KOAK,KSAN,387.0,82,1:22 h,2025-12-03 00:05:00,2025-12-03 01:28:00,37.720085,-122.221184,32.7336006165,-117.190002441,B738,Boeing,737-800,PASSENGER,No,Alaska Airlines
N209UA,N209UA,alphagolfcharlie,KIAD,KDEN,1259.0,219,3:39 h,2025-12-01 17:32:00,2025-12-01 21:11:00,38.9445,-77.455803,39.861698150635,-104.672996521,B772,Boeing,777-200,PASSENGER,No,United Airlines
N209UA,N209UA,alphagolfcharlie,KSFO,KIAD,2096.0,274,4:34 h,2025-11-30 13:07:00,2025-11-30 17:41:00,37.619806,-122.374821,38.9445,-77.455803,B772,Boeing,777-200,PASSENGER,No,United Airlines
N209UA,N209UA,alphagolfcharlie,KORD,KSFO,1600.0,273,4:33 h,2025-11-29 21:47:00,2025-11-30 02:20:00,41.9786,-87.9048,37.619806,-122.374821,B772,Boeing,777-200,PASSENGER,No,United Airlines
N959NN,N959NN,KDTW_Al,KDFW,KDTW,856.0,143,2:23 h,2025-11-29 00:22:00,2025-11-29 02:45:00,32.896801,-97.038002,42.21377,-83.353786,B738,Boeing,737-800,PASSENGER,No,American Airlines
N374DA,N374DA,mjbeck123,KPBI,KBOS,1041.0,181,3:01 h,2025-11-28 19:05:00,2025-11-28 22:06:00,26.683201,-80.095596,42.36197,-71.0079,B738,Boeing,737-800,PASSENGER,No,Delta Air Lines
N302DN,N302DN,alphagolfcharlie,KPBI,KBOS,1041.0,193,3:13 h,2025-11-28 18:51:00,2025-11-28 22:04:00,26.683201,-80.095596,42.36197,-71.0079,A321,Airbus,A321,PASSENGER,No,Delta Air Lines
N302DN,N302DN,alphagolfcharlie,KATL,KPBI,474.0,92,1:32 h,2025-11-28 17:05:00,2025-11-28 18:38:00,33.6367,-84.428101,26.683201,-80.095596,A321,Airbus,A321,PASSENGER,No,Delta Air Lines
N980NN,N980NN,KDTW_Al,KLAX,KDEN,747.0,135,2:15 h,2025-11-26 00:12:00,2025-11-26 02:27:00,33.942501,-118.407997,39.861698150635,-104.672996521,B738,Boeing,737-800,PASSENGER,No,American Airlines
N305DN,N305DN,KDTW_Al,KATL,KIND,375.0,83,1:23 h,2025-11-25 00:37:00,2025-11-25 02:00:00,33.6367,-84.428101,39.7173,-86.294403,A321,Airbus,A321,PASSENGER,No,Delta Air Lines
N506JB,N506JB,PilotDeviation,KBOS,KDCA,346.0,110,1:50 h,2025-11-23 18:14:00,2025-11-23 20:04:00,42.36197,-71.0079,38.8521,-77.037697,A320,Airbus,A320,PASSENGER,No,Jetblue
N559AS,N559AS,KDTW_Al,KABQ,KSLC,428.0,89,1:29 h,2025-11-22 00:23:00,2025-11-22 01:53:00,35.039976,-106.608925,40.78886,-111.979866,B738,Boeing,737-800,PASSENGER,No,Alaska Airlines
N76288,N76288,KDTW_Al,KDTW,KIAD,332.0,80,1:20 h,2025-11-21 19:16:00,2025-11-21 20:36:00,42.21377,-83.353786,38.9445,-77.455803,B738,Boeing,737-800,PASSENGER,No,United Airlines
