aircraft,tailnumber,pilot,departure,arrival,distance_nm,duration_min,duration_hhmm,date_dep_form,date_arr_form,dep_lat,dep_lon,arr_lat,arr_lon,ac_icao_type,ac_manufacturer,ac_model,ac_category,ac_is_ga,ac_airline_name
N375GR,N375GR,V1RotateAP,MKJS,MHRO,510.0,95,1:35 h,2026-01-08 18:25:00,2026-01-08 20:01:00,18.5037,-77.913399,16.316799,-86.523003,C25C,Cessna,525C CitationJet CJ4,PASSENGER,Yes,
A6-EGE,A6-EGE,AndyV,OMDB,OBBI,262.0,81,1:21 h,2026-01-08 16:49:00,2026-01-08 18:11:00,25.2527999878,55.3643989563,26.267295,50.63764,B77W,Boeing,777-300ER,PASSENGER,No,Emirates
OE-EKA,OE-EKA,jimmy_carrot,LDPL,LIRA,194.0,66,1:06 h,2026-01-08 14:18:00,2026-01-08 15:25:00,44.893501,13.9222,41.7994,12.5949,TBM9,Daher,TBM 960,PASSENGER,Yes,
OE-EKA,OE-EKA,jimmy_carrot,LIPX,LDPL,131.0,55,0:55 h,2026-01-08 13:16:00,2026-01-08 14:11:00,45.394955,10.887303,44.893501,13.9222,TBM9,Daher,TBM 960,PASSENGER,Yes,
OE-EKA,OE-EKA,jimmy_carrot,EDDC,LIPX,363.0,100,1:40 h,2026-01-08 11:31:00,2026-01-08 13:11:00,51.134123,13.767831,45.394955,10.887303,TBM9,Daher,TBM 960,PASSENGER,Yes,
OE-EKA,OE-EKA,jimmy_carrot,EDAJ,EDDC,63.0,45,0:45 h,2026-01-08 10:37:00,2026-01-08 11:23:00,50.881668,12.135833,51.134123,13.767831,TBM9,Daher,TBM 960,PASSENGER,Yes,
G-HMGG,G-HMGG,TATsim,EGPO,EGNJ,343.0,88,1:28 h,2026-01-08 10:13:00,2026-01-08 11:42:00,58.215599,-6.33111,53.576152,-0.34954,B350,Beechcraft,300 King Air,MILITARY,No,HM Coastguard
OE-EKA,OE-EKA,jimmy_carrot,LSZR,EDAJ,227.0,83,1:23 h,2026-01-08 08:14:00,2026-01-08 09:37:00,47.485001,9.56077,50.881668,12.135833,TBM9,Daher,TBM 960,PASSENGER,Yes,
OE-EKA,OE-EKA,jimmy_carrot,LFSN,LSZR,151.0,56,0:56 h,2026-01-08 07:09:00,2026-01-08 08:05:00,48.692101,6.23046,47.485001,9.56077,TBM9,Daher,TBM 960,PASSENGER,Yes,
N691NK,N691NK,Jay6zero,KMCO,KFLL,154.0,57,0:57 h,2026-01-08 06:00:00,2026-01-08 06:57:00,28.429399490356445,-81.30899810791016,26.072599,-80.152702,A320,Airbus,A320,PASSENGER,No,Spirit Airlines
VH-VXI,VH-VXI,AndyV,YMML,YSSY,380.0,101,1:41 h,2026-01-08 04:42:00,2026-01-08 06:23:00,-37.661548,144.836432,-33.946098,151.177002,B738,Boeing,737-800,PASSENGER,No,Qantas
N844FD,N844FD,Jay6zero,KCLT,KMEM,443.0,110,1:50 h,2026-01-08 03:25:00,2026-01-08 05:16:00,35.2140007019043,-80.94309997558594,35.0424,-89.9767,B77L,Boeing,777-200F,FREIGHTER,No,FedEx
N505JB,N505JB,AndyV,MDST,TJSJ,267.0,79,1:19 h,2026-01-08 02:53:00,2026-01-08 04:13:00,19.406099319458008,-70.60469818115234,18.4394,-66.001801,A320,Airbus,A320,PASSENGER,No,Jetblue
N875FD,N875FD,Mark3568,KOAK,KPHX,560.0,113,1:53 h,2026-01-08 02:39:00,2026-01-08 04:32:00,37.720085,-122.221184,33.435302,-112.005905,B77L,Boeing,777-F,FREIGHTER,No,FedEx
N204CM,N204CM,PilotDeviation,KLGB,KLAX,14.0,29,0:29 h,2026-01-08 02:05:00,2026-01-08 02:34:00,33.816523,-118.149891,33.942501,-118.407997,C172,Cessna,172M Skyhawk,PASSENGER,Yes,
N204CM,N204CM,ClimbToFL150,KAVX,KLGB,28.0,38,0:38 h,2026-01-07 23:59:00,2026-01-08 00:38:00,33.4049,-118.416,33.816523,-118.149891,C172,Cessna,172M Skyhawk,PASSENGER,Yes,
OH-LWA,OH-LWA,bradfier,EFHK,EDDM,850.0,154,2:34 h,2026-01-07 20:56:00,2026-01-07 23:31:00,60.318363,24.963341,48.353802,11.7861,A359,Airbus,A350-900,PASSENGER,No,Finnair
N733BR,N733BR,V1RotateAP,MMML,KMYF,96.0,59,0:59 h,2026-01-07 19:23:00,2026-01-07 20:23:00,32.630629,-115.242805,32.8157,-117.139999,C172,Cessna,172 Skyhawk,PASSENGER,Yes,
D-AIZD,D-AIZD,Heustreu,EDDL,EDDF,101.0,76,1:16 h,2026-01-07 18:30:00,2026-01-07 19:46:00,51.289501,6.76678,50.030241,8.561096,A320,Airbus,A320,PASSENGER,No,Lufthansa
N17105,N17105,Lyra,SPJC,KEWR,3169.0,462,7:42 h,2026-01-07 18:19:00,2026-01-08 02:01:00,-12.0219,-77.114305,40.692501,-74.168701,B752,Boeing,757-200,PASSENGER,No,United Airlines
N2MK,N2MK,V1RotateAP,KIND,KSTL,198.0,65,1:05 h,2026-01-07 18:13:00,2026-01-07 19:18:00,39.7173,-86.294403,38.748697,-90.370003,P180,Piaggio,P-180 Avanti,PASSENGER,Yes,
G-HMGG,G-HMGG,TATsim,EGPO,EGPO,0.0,268,4:28 h,2026-01-07 17:14:00,2026-01-07 21:42:00,58.215599,-6.33111,58.215599,-6.33111,B350,Beechcraft,300 King Air,MILITARY,No,HM Coastguard
OO-SBA,OO-SBA,AndyV,EBBR,LOWW,499.0,107,1:47 h,2026-01-07 17:09:00,2026-01-07 18:57:00,50.901402,4.48444,48.110298,16.5697,A20N,Airbus,A320-271N,PASSENGER,No,Brussels Airlines
N733BR,N733BR,V1RotateAP,MMPE,MMML,125.0,75,1:15 h,2026-01-07 16:49:00,2026-01-07 18:04:00,31.351987,-113.305177,32.630629,-115.242805,C172,Cessna,172 Skyhawk,PASSENGER,Yes,
I-AMAA,I-AMAA,Frilex,EDJA,EDFM,112.0,72,1:12 h,2026-01-07 16:11:00,2026-01-07 17:23:00,47.9888000488,10.2395000458,49.473057,8.514167,C172,Cessna,172M Skyhawk,PASSENGER,Yes,
G-HMGG,G-HMGG,TATsim,EGMD,EGPO,503.0,138,2:18 h,2026-01-07 14:51:00,2026-01-07 17:09:00,50.956246,0.939074,58.215599,-6.33111,B350,Beechcraft,300 King Air,MILITARY,No,HM Coastguard
N204CM,N204CM,PilotDeviation,KSBA,KAVX,93.0,75,1:15 h,2026-01-07 13:11:00,2026-01-07 14:26:00,34.426201,-119.839996,33.4049,-118.416,C172,Cessna,172M Skyhawk,PASSENGER,Yes,
N880FD,N880FD,Jay6zero,KJFK,KBOS,162.0,61,1:01 h,2026-01-07 08:16:00,2026-01-07 09:17:00,40.639447,-73.779317,42.36197,-71.0079,B77L,Boeing,777-200F,FREIGHTER,No,FedEx
N539LC,N539LC,Pandonaut,KTEB,KMVY,159.0,77,1:17 h,2026-01-07 07:04:00,2026-01-07 08:22:00,40.850101,-74.060799,41.3931007385,-70.6143035889,C25C,Cessna,Citation CJ4,PASSENGER,Yes,
N959NN,N959NN,Jay6zero,KCLT,KJFK,470.0,85,1:25 h,2026-01-07 05:16:00,2026-01-07 06:42:00,35.2140007019043,-80.94309997558594,40.639447,-73.779317,B738,Boeing,737-800,PASSENGER,No,American Airlines
N959NN,N959NN,Jay6zero,KCLT,KCLT,0.0,18,0:18 h,2026-01-07 04:47:00,2026-01-07 05:05:00,35.2140007019043,-80.94309997558594,35.2140007019043,-80.94309997558594,B738,Boeing,737-800,PASSENGER,No,American Airlines
N844FD,N844FD,Jay6zero,KMIA,KCLT,566.0,102,1:42 h,2026-01-07 02:53:00,2026-01-07 04:35:00,25.79319953918457,-80.29060363769531,35.2140007019043,-80.94309997558594,B77L,Boeing,777-200F,FREIGHTER,No,FedEx
N3752,N3752,KDTW_Al,KLAX,KDEN,747.0,130,2:10 h,2026-01-06 23:36:00,2026-01-07 01:47:00,33.942501,-118.407997,39.861698150635,-104.672996521,B738,Boeing,737-832,PASSENGER,No,Delta Air Lines
LV-KAN,LV-KAN,AndyV,SAEZ,SBGL,1077.0,179,2:59 h,2026-01-06 23:31:00,2026-01-07 02:30:00,-34.8222,-58.5358,-22.809999,-43.250557,A332,Airbus,A330-202,PASSENGER,No,Aerolineas Argentinas
330003,330003,Aaron1362041,CYOW,CYEG,1538.0,272,4:32 h,2026-01-06 22:39:00,2026-01-07 03:12:00,45.322498,-75.669197,53.3097,-113.580002,A332,Airbus,CC-330 Husky,MILITARY,No,Canadian Air Force
N375GR,N375GR,V1RotateAP,KMIA,MKJS,457.0,85,1:25 h,2026-01-06 22:04:00,2026-01-06 23:29:00,25.79319953918457,-80.29060363769531,18.5037,-77.913399,C25C,Cessna,525C CitationJet CJ4,PASSENGER,Yes,
N204CM,N204CM,V1RotateAP,KSBP,KSBA,62.0,51,0:51 h,2026-01-06 20:44:00,2026-01-06 21:36:00,35.2368011475,-120.641998291,34.426201,-119.839996,C172,Cessna,172M Skyhawk,PASSENGER,Yes,
D-AIZD,D-AIZD,Heustreu,EDDF,EDDL,101.0,93,1:33 h,2026-01-06 18:17:00,2026-01-06 19:51:00,50.030241,8.561096,51.289501,6.76678,A320,Airbus,A320,PASSENGER,No,Lufthansa
